song_id,title,performer,genre_id,streams,artist followers
1,Beggin',1,1,48633449,3377762
2,STAY ,2,2,47248719,2230022
3,good 4 u,3,3,40162559,6266514
4,Bad Habits,4,3,37799456,83293380
5,INDUSTRY BABY ,5,3,33948454,5473565
6,MONTERO ,5,3,30071134,5473565
7,Kiss Me More ,6,3,29356736,8640063
8,Todo De Ti,7,3,26951613,6080597
9,Yonaguni,8,4,25030128,36142273
10,I WANNA BE YOUR SLAVE,1,1,24551591,3377762
11,Levitating ,9,3,23518010,27142474
13,Permission to Dance,10,3,22062812,37106176
14,Peaches ,11,3,20294457,48504126
15,Butter,10,3,19985713,37106176
16,traitor,3,3,19480679,6266514
17,deja vu,3,3,18571755,6266514
18,Save Your Tears ,12,3,18053141,35305637
19,AM Remix,13,4,17617965,2123734
20,Need To Know,6,3,16908917,8640063
21,Volando ,14,4,16606925,151486
22,Ain't Shit,6,3,16126897,8640063
23,drivers license,3,3,15684978,6266514
24,Heat Waves,15,3,15089184,1890510
25,Blinding Lights,12,3,15011809,35305637
26,happier,3,3,14849078,6266514
27,Pepas,16,2,14809458,10502148
28,Motley Crew,17,5,14329162,33651775
29,Friday ,18,3,14273637,83689
30,Astronaut In The Ocean,19,2,14174752,365975
31,Leave The Door Open,20,3,13963568,32574754
32,Don't Go Yet,21,3,13205250,22683756
33,favorite crime,3,3,12818935,6266514
35,Watermelon Sugar,22,3,11996689,16112621
37,6STAR,23,6,11683383,4840346
38,You Right,6,3,11629418,8640063
42,jealousy jealousy,3,3,11287301,6266514
43,Poblado ,24,4,11283626,29051363
44,Dynamite,10,3,11196819,37106176
46,Heartbreak Anthem ,25,3,10315460,3120157
47,Mood ,26,6,10222056,1274433
48,Entre Nosotros,27,4,10215216,375865
49,Fiel ,28,2,10032746,6929075
51,Nicky Jam Bzrp Music Sessions Vol 41,29,3,9799701,3126961
53,NDA,30,3,9635619,47014200
54,Rasputin,31,3,9600707,32178
55,Leave Before You Love Me ,32,3,9428494,31541310
56,Freaks,33,7,9319465,495226
58,2/Catorce,7,3,9086979,6080597
59,Beautiful Mistakes ,34,1,9048966,32262679
60,Run,35,1,9017356,12169108
61,Thot Shit,36,3,8977336,4787261
62,Your Love ,37,8,8935418,291777
63,brutal,3,3,8881356,6266514
64,Save Your Tears,12,3,8843110,35305637
65,Heartbreak Anniversary,38,3,8832945,1398563
68,Sweater Weather,39,1,8564017,6662605
69,Sobrio,40,4,8514480,26769304
70,Someone You Loved,41,3,8490162,8384096
71,Over The Top ,42,2,8269753,26131
73,EL MAKINON,43,4,8102107,17775316
74,Loco,44,4,8093413,2895789
75,Love Tonight ,45,8,8006336,27116
76,ZITTI E BUONI,1,1,7975148,3377762
78,Botella Tras Botella,46,2,7735223,2043294
79,Fiel,47,4,7717211,31488
80,Dance Monkey,48,3,7687058,2819593
81,WITHOUT YOU,2,2,7642130,2230022
82,Wants and Needs ,49,3,7637626,56308172
85,Goosebumps ,50,6,7452633,17719446
86,Head & Heart ,51,3,7434252,207547
87,BED,51,3,7383369,207547
88,Iko Iko ,52,3,7381585,18228
89,Better Believe,53,3,7365053,203972
90,Arcade,54,3,7353795,287361
92,positions,55,3,7244853,67158068
93,Circles,17,6,7156162,33651775
94,Blaues Licht,56,2,7084292,1329531
95,Ram Pam Pam,57,3,7064003,6341942
97,Woman,6,3,6858466,8640063
98,t r a n s p a r e n t s o u l ,58,3,6853994,1521837
99,Clash ,59,2,6825463,1427540
100,Before You Go,41,3,6813800,8384096
101,Levitating,9,3,6799831,27142474
102,Reckless,60,3,6711375,3363988
104,Believer,61,1,6699895,35285425
105,Lemonade ,62,3,6697067,411579
106,Talking to the Moon,20,3,6660319,32574754
107,Roses ,63,3,6653690,742692
108,Sal y Perrea,64,3,6635076,8758283
109,Fulanito,65,3,6614072,10356559
111,lovely ,30,3,6569547,47014200
